,reward,num_moves,num_completed_suits,seed
685,42.0,112.0,0.0,685
686,252.0,144.0,1.0,686
687,34.0,108.0,0.0,687
688,41.0,103.0,0.0,688
689,235.0,147.0,1.0,689
690,102.0,104.0,0.0,690
691,90.0,122.0,0.0,691
692,127.0,125.0,0.0,692
693,41.0,121.0,0.0,693
694,45.0,113.0,0.0,694
695,126.0,146.0,0.0,695
696,106.0,148.0,0.0,696
697,233.0,145.0,1.0,697
698,147.0,147.0,1.0,698
699,102.0,120.0,0.0,699
700,100.0,126.0,0.0,700
701,237.0,151.0,2.0,701
702,258.0,114.0,1.0,702
703,-24.0,110.0,0.0,703
704,-1.0,99.0,0.0,704
705,53.0,119.0,0.0,705
706,105.0,119.0,1.0,706
707,65.0,111.0,0.0,707
708,80.0,131.0,0.0,708
709,280.0,149.0,1.0,709
710,-25.0,97.0,0.0,710
711,57.0,105.0,0.0,711
712,47.0,123.0,0.0,712
713,123.0,145.0,1.0,713
714,-3.0,99.0,0.0,714
715,26.0,94.0,0.0,715
716,261.0,148.0,2.0,716
717,16.0,106.0,0.0,717
718,20.0,104.0,0.0,718
719,39.0,113.0,0.0,719
720,226.0,128.0,1.0,720
721,278.0,130.0,1.0,721
722,93.0,129.0,0.0,722
723,59.0,117.0,0.0,723
724,15.0,101.0,0.0,724
725,50.0,120.0,1.0,725
726,169.0,123.0,1.0,726
727,9.0,103.0,0.0,727
728,78.0,118.0,0.0,728
729,181.0,125.0,1.0,729
730,-5.0,103.0,0.0,730
731,126.0,134.0,1.0,731
732,39.0,109.0,0.0,732
733,251.0,135.0,1.0,733
734,103.0,137.0,1.0,734
735,153.0,139.0,1.0,735
736,50.0,114.0,0.0,736
737,52.0,110.0,0.0,737
738,146.0,144.0,1.0,738
739,173.0,143.0,2.0,739
740,384.0,160.0,2.0,740
741,302.0,122.0,2.0,741
742,62.0,134.0,0.0,742
743,322.0,175.0,2.0,743
744,128.0,124.0,0.0,744
745,427.0,165.0,3.0,745
746,297.0,137.0,1.0,746
747,198.0,146.0,1.0,747
748,111.0,113.0,0.0,748
749,433.0,159.0,3.0,749
750,221.0,133.0,1.0,750
751,98.0,132.0,0.0,751
752,17.0,101.0,0.0,752
753,261.0,137.0,1.0,753
754,87.0,111.0,0.0,754
755,72.0,130.0,0.0,755
756,44.0,106.0,0.0,756
757,-65.0,89.0,0.0,757
758,48.0,122.0,0.0,758
759,133.0,119.0,0.0,759
760,20.0,106.0,1.0,760
761,328.0,146.0,1.0,761
762,198.0,118.0,1.0,762
763,106.0,120.0,0.0,763
764,95.0,137.0,0.0,764
765,141.0,113.0,0.0,765
766,-7.0,103.0,0.0,766
767,-23.0,85.0,0.0,767
768,203.0,141.0,1.0,768
769,205.0,143.0,1.0,769
770,92.0,124.0,0.0,770
771,-40.0,88.0,0.0,771
772,252.0,144.0,1.0,772
773,39.0,103.0,0.0,773
774,55.0,109.0,0.0,774
775,331.0,169.0,3.0,775
776,130.0,128.0,1.0,776
777,146.0,130.0,1.0,777
778,114.0,138.0,0.0,778
779,63.0,121.0,0.0,779
780,188.0,124.0,1.0,780
781,38.0,104.0,0.0,781
782,-4.0,98.0,0.0,782
783,22.0,116.0,0.0,783
784,-20.0,106.0,0.0,784
785,428.0,184.0,3.0,785
786,31.0,111.0,1.0,786
787,137.0,115.0,1.0,787
788,107.0,125.0,0.0,788
789,36.0,106.0,0.0,789
790,19.0,117.0,0.0,790
791,461.0,168.0,4.0,791
792,62.0,114.0,0.0,792
793,298.0,146.0,2.0,793
794,15.0,109.0,0.0,794
795,2.0,76.0,0.0,795
796,106.0,118.0,0.0,796
797,15.0,105.0,0.0,797
798,191.0,161.0,1.0,798
799,211.0,145.0,1.0,799
800,58.0,140.0,0.0,800
801,42.0,108.0,0.0,801
802,126.0,136.0,1.0,802
803,74.0,120.0,0.0,803
804,329.0,151.0,2.0,804
805,245.0,127.0,1.0,805
806,353.0,158.0,2.0,806
807,228.0,138.0,1.0,807
808,78.0,114.0,0.0,808
809,-17.0,97.0,0.0,809
810,257.0,145.0,2.0,810
811,-12.0,108.0,0.0,811
812,92.0,134.0,0.0,812
813,137.0,139.0,0.0,813
814,326.0,148.0,2.0,814
815,39.0,95.0,0.0,815
816,122.0,128.0,1.0,816
817,51.0,127.0,0.0,817
818,113.0,121.0,0.0,818
819,36.0,110.0,0.0,819
820,55.0,117.0,0.0,820
821,213.0,141.0,2.0,821
822,303.0,183.0,2.0,822
823,328.0,156.0,2.0,823
824,449.0,193.0,4.0,824
825,40.0,104.0,0.0,825
826,33.0,119.0,0.0,826
827,288.0,132.0,2.0,827
828,178.0,136.0,1.0,828
829,105.0,123.0,0.0,829
830,23.0,103.0,0.0,830
831,218.0,122.0,1.0,831
832,76.0,116.0,0.0,832
833,14.0,112.0,0.0,833
834,81.0,121.0,0.0,834
835,121.0,141.0,0.0,835
836,-28.0,90.0,0.0,836
837,296.0,146.0,2.0,837
838,69.0,107.0,0.0,838
839,-18.0,102.0,0.0,839
840,62.0,135.0,0.0,840
841,90.0,112.0,1.0,841
842,50.0,114.0,0.0,842
843,67.0,109.0,0.0,843
844,-16.0,100.0,0.0,844
845,78.0,116.0,0.0,845
846,227.0,135.0,1.0,846
847,202.0,122.0,1.0,847
848,-3.0,117.0,0.0,848
849,86.0,130.0,1.0,849
850,91.0,131.0,0.0,850
851,64.0,128.0,0.0,851
852,77.0,113.0,0.0,852
853,36.0,114.0,0.0,853
854,224.0,152.0,1.0,854
855,167.0,119.0,1.0,855
856,-4.0,102.0,0.0,856
857,218.0,128.0,1.0,857
858,107.0,124.0,0.0,858
859,73.0,119.0,0.0,859
860,302.0,142.0,2.0,860
861,34.0,98.0,0.0,861
862,248.0,140.0,1.0,862
